Make,AccidentArea,MonthClaimed,Sex,MaritalStatus,Fault,PolicyType,VehicleCategory,VehiclePrice,FraudFound_P,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy
Honda,Rural,Feb,Male,Single,Third Party,Sedan - Collision,Sedan,more than 69000,0,400,3,more than 30,more than 30,none,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,Collision
Ford,Urban,Feb,Male,Married,Policy Holder,Sedan - Liability,Sport,more than 69000,0,400,1,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,Liability
Ford,Urban,Aug,Male,Single,Policy Holder,Sedan - Liability,Sport,more than 69000,0,400,1,more than 30,more than 30,none,6 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability
Ford,Urban,May,Male,Married,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,400,4,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils
Chevrolet,Urban,Aug,Female,Married,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,400,1,more than 30,more than 30,none,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
Pontiac,Urban,May,Male,Single,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,1,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability
Honda,Urban,May,Male,Married,Third Party,Sedan - Liability,Sport,more than 69000,0,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Liability
Mazda,Urban,May,Male,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,1,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Liability
Chevrolet,Urban,Jan,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,2,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,4 to 8 years,2 vehicles,1994,Collision
Mazda,Urban,Aug,Male,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,3,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,1 to 2,no change,1 vehicle,1994,Liability
Pontiac,Urban,Jun,Male,Single,Third Party,Sedan - Liability,Sport,30000 to 39000,0,400,3,more than 30,more than 30,none,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Liability
Mazda,Urban,Sep,Male,Married,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,400,3,more than 30,more than 30,more than 4,more than 7,36 to 40,Yes,No,External,none,no change,1 vehicle,1994,All Perils
Pontiac,Urban,Apr,Male,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,4,more than 30,more than 30,more than 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,Liability
Honda,Urban,Jun,Male,Married,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,400,2,more than 30,more than 30,more than 4,5 years,26 to 30,No,No,External,more than 5,no change,1 vehicle,1994,Collision
Accura,Urban,May,Male,Married,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils
Honda,Urban,Sep,Male,Single,Policy Holder,Sedan - All Perils,Sedan,more than 69000,1,400,1,more than 30,more than 30,none,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,All Perils
Mazda,Urban,May,Female,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,3,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision
Dodge,Urban,Mar,Male,Married,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,400,1,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,Internal,none,no change,1 vehicle,1994,Collision
Honda,Urban,Mar,Male,Single,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,400,1,more than 30,more than 30,1,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,Collision
Chevrolet,Urban,Mar,Male,Single,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,3,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Collision
Honda,Urban,Jan,Male,Single,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
Ford,Urban,Jan,Male,Married,Policy Holder,Utility - All Perils,Utility,more than 69000,0,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils
Chevrolet,Urban,Oct,Male,Single,Third Party,Sedan - Liability,Sport,20000 to 29000,0,400,3,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Liability
Honda,Urban,Oct,Male,Married,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision
Mazda,Urban,Sep,Male,Single,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,400,2,more than 30,more than 30,none,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision
Honda,Urban,Nov,Male,Married,Policy Holder,Sport - Collision,Sport,more than 69000,0,400,1,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision
Toyota,Urban,Jan,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,3,more than 30,more than 30,none,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
Chevrolet,Urban,Apr,Female,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision
Pontiac,Urban,Mar,Male,Married,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,3 to 4,1994,All Perils
Toyota,Urban,Jul,Female,Single,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,4,more than 30,more than 30,none,4 years,36 to 40,No,No,External,none,4 to 8 years,2 vehicles,1994,Liability
Honda,Urban,Jan,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
Toyota,Urban,Jan,Male,Married,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,400,1,more than 30,more than 30,none,more than 7,over 65,No,No,External,none,no change,1 vehicle,1994,Collision
Pontiac,Urban,Feb,Female,Married,Third Party,Sedan - All Perils,Sedan,less than 20000,0,400,3,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils
Pontiac,Urban,Feb,Male,Single,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,Internal,none,no change,1 vehicle,1994,Collision
Mazda,Urban,Nov,Male,Married,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,400,3,more than 30,more than 30,2 to 4,5 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Liability
Chevrolet,Urban,May,Female,Married,Policy Holder,Sedan - Liability,Sport,more than 69000,0,400,1,more than 30,more than 30,2 to 4,6 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Liability
Pontiac,Urban,Apr,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,4,more than 30,more than 30,more than 4,more than 7,51 to 65,No,No,External,3 to 5,no change,1 vehicle,1994,Collision
Pontiac,Urban,May,Male,Married,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,400,2,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Liability
Pontiac,Urban,Jun,Male,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,500,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,3 to 5,2 to 3 years,1 vehicle,1994,Liability
Honda,Rural,Jan,Male,Married,Policy Holder,Sport - Collision,Sport,more than 69000,1,400,4,more than 30,more than 30,none,4 years,26 to 30,No,No,External,3 to 5,no change,1 vehicle,1994,Collision
Honda,Urban,Aug,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1,400,1,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1994,Collision
Pontiac,Urban,Jun,Male,Single,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,400,1,more than 30,more than 30,1,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
Mazda,Urban,Dec,Male,Married,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,400,4,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils
Honda,Urban,Jun,Male,Single,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils
Accura,Urban,Nov,Male,Single,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision
Honda,Rural,May,Male,Single,Policy Holder,Sedan - Liability,Sport,more than 69000,0,400,4,more than 30,more than 30,none,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,Liability
Chevrolet,Urban,May,Female,Single,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
Toyota,Urban,Nov,Male,Single,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,400,4,more than 30,more than 30,none,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils
Pontiac,Urban,Jan,Male,Married,Policy Holder,Utility - Collision,Utility,40000 to 59000,0,400,4,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision
Honda,Urban,Jan,Male,Single,Third Party,Sedan - All Perils,Sedan,more than 69000,0,400,2,more than 30,more than 30,2 to 4,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,All Perils
Toyota,Urban,Mar,Male,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,3,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,4 to 8 years,2 vehicles,1994,Liability
Pontiac,Urban,Dec,Male,Single,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,1,more than 30,more than 30,none,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision
Mazda,Urban,Jan,Male,Single,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,400,3,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils
Mercury,Urban,Mar,Male,Single,Third Party,Sedan - Collision,Sedan,more than 69000,0,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision
Mazda,Urban,Aug,Male,Married,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,400,1,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1994,Liability
Toyota,Urban,Jan,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,1,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,Collision
Honda,Urban,Jan,Male,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,2,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Liability
Honda,Urban,Jan,Male,Single,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Collision
Mazda,Urban,Jan,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,3,more than 30,more than 30,1,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
Chevrolet,Urban,Jan,Female,Single,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,400,3,15 to 30,more than 30,1,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
Honda,Urban,Jan,Male,Married,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,400,2,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Collision
Mazda,Urban,May,Male,Married,Third Party,Sedan - Collision,Sedan,more than 69000,0,400,3,more than 30,more than 30,more than 4,7 years,51 to 65,No,No,External,more than 5,no change,1 vehicle,1994,Collision
Ford,Urban,Aug,Male,Married,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,400,4,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
Chevrolet,Urban,Jan,Male,Married,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,400,3,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils
Honda,Urban,Feb,Female,Married,Third Party,Sport - Collision,Sport,more than 69000,0,400,3,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision
Jaguar,Rural,Feb,Female,Single,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,400,1,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Liability
Toyota,Urban,Mar,Female,Married,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,400,1,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision
Pontiac,Urban,Jan,Male,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,4,more than 30,more than 30,2 to 4,6 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability
Mazda,Urban,Jan,Male,Single,Third Party,Sedan - Liability,Sport,20000 to 29000,0,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability
Chevrolet,Urban,Apr,Male,Married,Third Party,Sedan - All Perils,Sedan,more than 69000,0,400,4,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,3 to 4,1994,All Perils
Toyota,Urban,Feb,Female,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,4,more than 30,more than 30,none,6 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Liability
Honda,Urban,Jan,Male,Single,Policy Holder,Sedan - Liability,Sport,more than 69000,0,400,2,more than 30,more than 30,more than 4,new,16 to 17,No,No,External,none,4 to 8 years,2 vehicles,1994,Liability
Chevrolet,Rural,Mar,Male,Married,Policy Holder,Utility - Liability,Utility,more than 69000,0,400,4,more than 30,more than 30,1,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Liability
Toyota,Urban,May,Male,Single,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,3,more than 30,more than 30,1,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision
Mazda,Urban,May,Male,Single,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,400,2,more than 30,more than 30,2 to 4,4 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
Pontiac,Urban,Oct,Male,Married,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,400,4,more than 30,more than 30,none,7 years,over 65,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils
Honda,Urban,Oct,Male,Single,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,2,more than 30,more than 30,2 to 4,4 years,26 to 30,No,No,External,none,no change,1 vehicle,1994,Liability
Honda,Urban,Oct,Female,Single,Third Party,Sport - Collision,Sport,more than 69000,0,400,1,more than 30,more than 30,none,6 years,26 to 30,No,No,External,more than 5,no change,1 vehicle,1994,Collision
Pontiac,Urban,Jan,Male,Single,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,2,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,3 to 5,1 year,1 vehicle,1994,Liability
Honda,Urban,Jan,Male,Married,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils
Pontiac,Urban,Aug,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,700,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision
Honda,Urban,Jan,Male,Single,Policy Holder,Sport - Collision,Sport,more than 69000,1,400,3,more than 30,more than 30,none,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Collision
Honda,Urban,May,Male,Married,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,400,4,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1994,Collision
Toyota,Urban,Jan,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision
Toyota,Urban,Jan,Male,Single,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,400,4,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils
Pontiac,Urban,Jan,Male,Married,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils
Pontiac,Urban,Jan,Male,Married,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,400,1,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils
Chevrolet,Urban,Jan,Male,Married,Policy Holder,Utility - All Perils,Utility,more than 69000,1,400,1,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
Pontiac,Urban,Jan,Female,Married,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,400,4,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils
Ford,Urban,Feb,Female,Married,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,500,2,more than 30,more than 30,2 to 4,6 years,36 to 40,Yes,No,External,3 to 5,no change,1 vehicle,1994,All Perils
Mazda,Urban,Jan,Male,Married,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,400,3,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
Pontiac,Urban,Jan,Male,Single,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,400,4,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils
Dodge,Urban,Dec,Male,Married,Policy Holder,Sedan - Liability,Sport,more than 69000,0,400,1,more than 30,more than 30,none,7 years,31 to 35,No,No,External,1 to 2,4 to 8 years,2 vehicles,1994,Liability
Mazda,Urban,Aug,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,2,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
Pontiac,Urban,Apr,Male,Married,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,400,1,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils
Chevrolet,Urban,Oct,Male,Married,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,400,1,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,All Perils
Honda,Urban,Mar,Male,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,4,more than 30,more than 30,none,6 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability
Toyota,Urban,Sep,Male,Single,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,2,more than 30,more than 30,2 to 4,5 years,26 to 30,No,No,External,none,no change,1 vehicle,1994,Collision
Pontiac,Urban,May,Male,Single,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils
Honda,Urban,Dec,Male,Married,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,400,1,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils
Accura,Rural,Jan,Male,Married,Policy Holder,Utility - All Perils,Utility,more than 69000,1,400,2,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,All Perils
Chevrolet,Urban,Jan,Male,Married,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,400,3,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Collision
Honda,Urban,Jan,Male,Single,Third Party,Sport - Collision,Sport,more than 69000,0,400,1,more than 30,more than 30,2 to 4,4 years,18 to 20,No,No,External,3 to 5,no change,1 vehicle,1994,Collision
Pontiac,Urban,Nov,Male,Married,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,400,2,more than 30,more than 30,1,7 years,31 to 35,No,Yes,External,more than 5,no change,1 vehicle,1994,Collision
Pontiac,Urban,Aug,Male,Single,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Liability
Mazda,Urban,Dec,Male,Single,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,1,400,3,more than 30,more than 30,2 to 4,5 years,over 65,No,No,External,none,no change,1 vehicle,1994,All Perils
Honda,Rural,Dec,Male,Single,Policy Holder,Sedan - All Perils,Sedan,more than 69000,1,400,3,more than 30,more than 30,none,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,All Perils
Honda,Rural,Mar,Male,Single,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,400,3,more than 30,more than 30,none,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,All Perils
Honda,Rural,Oct,Female,Married,Third Party,Sport - Collision,Sport,more than 69000,0,400,4,more than 30,more than 30,none,2 years,21 to 25,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
Pontiac,Urban,Jun,Male,Single,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,400,1,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
Honda,Urban,Apr,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,4,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,none,no change,3 to 4,1994,Collision
Toyota,Urban,Feb,Male,Single,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,400,3,more than 30,more than 30,none,6 years,26 to 30,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils
Pontiac,Urban,Feb,Female,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,4,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Liability
Dodge,Urban,Mar,Male,Married,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,400,2,more than 30,more than 30,none,more than 7,41 to 50,Yes,No,External,none,4 to 8 years,2 vehicles,1994,Collision
Mazda,Urban,Jan,Male,Married,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Liability
Chevrolet,Rural,Jan,Male,Married,Third Party,Sedan - Liability,Sport,30000 to 39000,0,400,3,more than 30,more than 30,more than 4,6 years,31 to 35,No,Yes,External,none,no change,1 vehicle,1994,Liability
Honda,Urban,Nov,Male,Single,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,3,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Collision
Pontiac,Urban,Jul,Male,Single,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,1,more than 30,more than 30,more than 4,5 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision
